timestamp,POE,AOE,HR,FE,PS
1669303882725854918,-0.349883,1.5708,2.2882e-05,0.389599,3.84067e-05
1669303882769775383,-0.349822,1.5708,2.2882e-05,0.380625,3.84067e-05
1669303882810129950,-0.349791,1.5708,2.2882e-05,0.373661,3.84067e-05
1669303882810503009,-0.349761,1.5708,2.2882e-05,0.370715,3.84067e-05
1669303882828974042,-0.349699,1.5708,2.2882e-05,0.367847,3.84067e-05
1669303882849120709,-0.349653,1.5708,2.2882e-05,0.365024,3.84067e-05
1669303882889928155,-0.349546,1.5708,2.2882e-05,0.359855,3.84067e-05
1669303882933739384,-0.349408,1.5708,2.2882e-05,0.354885,3.84067e-05
1669303882977848934,-0.349346,1.5708,2.2882e-05,0.350436,3.84067e-05
1669303883019787371,-0.3493,1.5708,2.2882e-05,0.347368,3.84067e-05
1669303883020116799,-0.349285,1.5708,2.2882e-05,0.345573,3.84067e-05
1669303883048614167,-0.349254,1.5708,2.2882e-05,0.342981,3.84067e-05
1669303883068886158,-0.349254,1.5708,2.2882e-05,0.3416,3.84067e-05
1669303883109878211,-0.349239,1.5708,2.2882e-05,0.338992,3.84067e-05
1669303883153559688,-0.349239,1.5708,2.2882e-05,0.337903,3.84067e-05
1669303883153613469,-0.349224,1.5708,2.2882e-05,0.336906,3.84067e-05
1669303883197983768,-0.349224,1.5708,2.2882e-05,0.335357,3.84067e-05
1669303883240446449,-0.349178,1.5708,2.2882e-05,0.334329,3.84067e-05
1669303883240859113,-0.349162,1.5708,2.2882e-05,0.333685,3.84067e-05
1669303883259182078,-0.349132,1.5708,2.2882e-05,0.333224,3.84067e-05
1669303883279581539,-0.349116,1.5708,2.2882e-05,0.332933,3.84067e-05
1669303883321503796,-0.349101,1.5708,2.2882e-05,0.332826,3.84067e-05
1669303883365618656,-0.34907,1.57081,2.2882e-05,0.33281,3.84067e-05
1669303883365796440,-0.34907,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883409643928,-0.34907,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883410065879,-0.34907,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883428970175,-0.349055,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883449692902,-0.349055,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883494094299,-0.349055,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883494149843,-0.349055,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883538127225,-0.349055,1.57081,2.2882e-05,0.332795,3.84067e-05
1669303883581952111,-0.349055,1.57081,2.2882e-05,0.332856,3.84067e-05
1669303883626189921,-0.349055,1.57081,2.2882e-05,0.332994,3.84067e-05
1669303883669808831,-0.349055,1.57081,2.2882e-05,0.333086,3.84067e-05
1669303883669868142,-0.349055,1.57081,2.2882e-05,0.333194,3.84067e-05
1669303883670335538,-0.349055,1.57081,2.2882e-05,0.333301,3.84067e-05
1669303883688648766,-0.34904,1.57081,2.2882e-05,0.333393,3.84067e-05
1669303883700074996,-0.34904,1.57081,2.2882e-05,0.33347,3.84067e-05
1669303883742152896,-0.34904,1.57081,2.2882e-05,0.333623,3.84067e-05
1669303883785882774,-0.34904,1.57081,2.2882e-05,0.333685,3.84067e-05
1669303883786111753,-0.34904,1.57081,2.2882e-05,0.333731,3.84067e-05
1669303883830091750,-0.34904,1.57081,2.2882e-05,0.333823,3.84067e-05
1669303883874155534,-0.34904,1.57081,2.2882e-05,0.333976,3.84067e-05
1669303883917806644,-0.34904,1.57081,2.2882e-05,0.334068,3.84067e-05
1669303883960163496,-0.34904,1.57081,2.2882e-05,0.334145,3.84067e-05
1669303883960349896,-0.34904,1.57081,2.2882e-05,0.334145,3.84067e-05
1669303883979308654,-0.34904,1.57081,2.2882e-05,0.33416,3.84067e-05
1669303883999787824,-0.34904,1.57081,2.2882e-05,0.334237,3.84067e-05
1669303884042097758,-0.34904,1.57083,2.2882e-05,0.33439,3.84067e-05
1669303884085619166,-0.34904,1.57083,2.2882e-05,0.334482,3.84067e-05
1669303884088501442,-0.349024,1.57083,2.2882e-05,0.334559,3.84067e-05
1669303884130108418,-0.349024,1.57083,-0.000161198,0.334651,3.84067e-05
1669303884174008956,-0.349024,1.57083,-0.000176538,0.334682,3.84067e-05
1669303884218212102,-0.349024,1.57083,-0.000191878,0.334697,3.84067e-05
1669303884260037318,-0.349024,1.57083,-0.000191878,0.334712,3.84067e-05
1669303884279845529,-0.349024,1.57084,-0.000191878,0.334728,3.84067e-05
1669303884299615189,-0.349024,1.57084,-0.000191878,0.334743,3.84067e-05
1669303884341463117,-0.349024,1.57084,-0.000191878,0.334805,3.84067e-05
1669303884379603121,-0.349024,1.57084,-0.000191878,0.33482,3.84067e-05
1669303884379940303,-0.349024,1.57084,-0.000191878,0.334682,3.84067e-05
1669303884399532169,-0.349024,1.57084,-0.000191878,0.334099,3.84067e-05
1669303884429285323,-0.349024,1.57084,-0.000191878,0.333547,3.84067e-05
1669303884473980822,-0.349024,1.57068,-0.000191878,0.333132,3.84067e-05
1669303884517978343,-0.349024,1.57011,-0.000191878,0.333102,3.84067e-05
1669303884561672534,-0.349024,1.56813,-0.000191878,0.333071,3.84067e-05
1669303884605878154,-0.349024,1.56514,-0.000191878,0.332795,3.84067e-05
1669303884649658126,-0.349024,1.56121,-0.000191878,0.332611,3.84067e-05
1669303884650014194,-0.349024,1.55963,-0.000191878,0.33258,3.84067e-05
1669303884658540866,-0.349024,1.5588,-0.000191878,0.332565,3.84067e-05
1669303884679602639,-0.349024,1.55704,-0.000191878,0.33255,3.84067e-05
1669303884721527642,-0.349024,1.55532,-0.000191878,0.33255,3.84067e-05
1669303884759717069,-0.349024,1.55207,-0.000191878,0.332534,3.84067e-05
1669303884760059190,-0.349024,1.5502,-0.000191878,0.332534,3.84067e-05
1669303884779674009,-0.349024,1.54816,-0.000191878,0.332534,3.84067e-05
1669303884799593911,-0.349024,1.54601,-0.000191878,0.332534,3.84067e-05
1669303884841861626,-0.349024,1.54144,-0.000191878,0.332534,3.84067e-05
1669303884885888401,-0.349024,1.53661,-0.000191878,0.332534,3.84067e-05
1669303884930784507,-0.349024,1.53124,-0.000191878,0.332534,3.84067e-05
1669303884973945428,-0.349024,1.52845,-0.000191878,0.332534,3.84067e-05
1669303884974040596,-0.349024,1.52541,-0.000191878,0.332657,3.84067e-05
1669303885018102457,-0.349024,1.51904,-0.000191878,0.332856,3.84067e-05
1669303885061798432,-0.349024,1.51223,-0.000191878,0.332933,3.84067e-05
1669303885099352918,-0.349024,1.50717,-0.000191878,0.332964,3.84067e-05
1669303885099410286,-0.349024,1.50537,-0.000191878,0.332964,3.84067e-05
1669303885099834962,-0.349024,1.50189,-0.000191878,0.333056,3.84067e-05
1669303885118672854,-0.349024,1.49806,-0.000191878,0.333301,3.84067e-05
1669303885138632580,-0.349024,1.49433,-0.000191878,0.333516,3.84067e-05
1669303885182081612,-0.349024,1.48618,-0.000191878,0.333807,3.84067e-05
1669303885225752600,-0.349024,1.48195,-0.000191878,0.333823,3.84067e-05
1669303885225884698,-0.349024,1.47761,-0.000191878,0.333823,3.84067e-05
1669303885269854527,-0.349024,1.46883,-0.000191878,0.333823,3.84067e-05
1669303885313957505,-0.349024,1.45975,-0.000191878,0.333899,3.84067e-05
1669303885357791439,-0.349024,1.45007,-0.000191878,0.334099,3.84067e-05
1669303885399359112,-0.34904,1.44032,-0.000191878,0.334145,3.84067e-05
1669303885399660467,-0.34904,1.43522,-0.000191878,0.334298,3.84067e-05
1669303885418901515,-0.34904,1.43012,-0.000191878,0.33462,3.84067e-05
1669303885438747287,-0.34904,1.4247,-0.000191878,0.334897,3.84067e-05
1669303885482017764,-0.34904,1.41316,-0.000191878,0.334912,3.84067e-05
1669303885525953679,-0.349055,1.40181,-0.000191878,0.334912,3.84067e-05
1669303885569778787,-0.349055,1.39054,-0.000191878,0.335188,3.84067e-05
1669303885613967967,-0.349055,1.37856,-0.000191878,0.335265,3.84067e-05
1669303885657642241,-0.349055,1.37199,-0.000191878,0.33528,3.84067e-05
